path,filter,best_f1
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,mean_21,0.883668903803132
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,gaussian_9,0.8498168498168497
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,gaussian_11,0.8766816143497758
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,gaussian_13,0.8876404494382023
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,gaussian_15,0.8861330326944759
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,gaussian_17,0.8859060402684564
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,gaussian_19,0.8854282536151279
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,gaussian_21,0.8869179600886917
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,median_9,0.8426270136307312
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,median_11,0.8560975609756097
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,median_13,0.8703703703703703
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,median_15,0.8785471055618616
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,median_17,0.8851351351351352
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,median_19,0.88470066518847
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,median_21,0.8778378378378379
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,cygno_0,0.17297297297297295
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,unet_0,0.8982857142857144
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,mean_9,0.7979669631512071
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,mean_11,0.8574850299401199
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,mean_13,0.890888638920135
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,mean_15,0.8971553610503281
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,mean_17,0.8945615982241955
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,mean_19,0.8920392584514723
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,mean_21,0.890888638920135
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,gaussian_9,0.8185231539424279
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,gaussian_11,0.8659090909090909
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,gaussian_13,0.8888888888888888
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,gaussian_15,0.8939393939393939
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,gaussian_17,0.8981779206859593
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,gaussian_19,0.8991416309012876
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,gaussian_21,0.8979591836734694
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,median_9,0.842603550295858
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,median_11,0.8623024830699774
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,median_13,0.8665207877461707
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,median_15,0.8728908886389201
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,median_17,0.8752834467120182
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,median_19,0.8782707622298065
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,median_21,0.8775981524249423
he_10_pic_run08012_ev17_unet_mean_gaussian_median_cygno,cygno_0,0.17150395778364114
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,unet_0,0.9140271493212668
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,mean_9,0.8431137724550898
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,mean_11,0.8857142857142857
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,mean_13,0.9090909090909092
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,mean_15,0.9115044247787609
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,mean_17,0.9086908690869088
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,mean_19,0.9064261555806088
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,mean_21,0.9049773755656108
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,gaussian_9,0.850412249705536
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,gaussian_11,0.8932461873638343
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,gaussian_13,0.9100998890122088
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,gaussian_15,0.9172259507829978
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,gaussian_17,0.9171270718232044
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,gaussian_19,0.9140969162995596
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,gaussian_21,0.9141583054626532
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,median_9,0.8671963677639046
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,median_11,0.8838268792710706
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,median_13,0.8886389201349831
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,median_15,0.901123595505618
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,median_17,0.8986486486486488
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,median_19,0.9064261555806088
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,median_21,0.9060022650056624
he_10_pic_run08012_ev57_unet_mean_gaussian_median_cygno,cygno_0,0.16038882138517618
he_10_pic_run08012_ev37_unet_mean_gaussian_median_cygno,unet_0,0.8797250859106529
he_10_pic_run08012_ev37_unet_mean_gaussian_median_cygno,mean_9,0.8519948519948519
